season,lg,player,player_id,age,team,pos,g,gs,mp,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,num_of_dunks,percent_corner_3s_of_3pa,corner_3_point_percent,num_heaves_attempted,num_heaves_made
2024,NBA,Precious Achiuwa,achiupr01,24,2TM,PF,74,18,1624,0.501,8.0,0.793,0.52,0.215,0.047,0.011,0.207,0.562,0.697,0.317,0.273,0.2,0.268,0.593,0.962,0.145,62,0.474,0.304,0,0
2024,NBA,Precious Achiuwa,achiupr01,24,TOR,C,25,0,437,0.459,9.5,0.724,0.418,0.247,0.047,0.012,0.276,0.528,0.662,0.357,0.25,0.5,0.277,0.662,1.0,0.147,21,0.362,0.294,0,0
2024,NBA,Precious Achiuwa,achiupr01,24,NYK,PF,49,18,1187,0.525,6.5,0.833,0.579,0.197,0.047,0.01,0.167,0.578,0.711,0.288,0.286,0.0,0.26,0.563,0.923,0.144,41,0.58,0.31,0,0
2024,NBA,Bam Adebayo,adebaba01,26,MIA,C,71,71,2416,0.521,8.5,0.959,0.245,0.367,0.278,0.069,0.041,0.528,0.727,0.515,0.406,0.386,0.357,0.573,1.0,0.148,134,0.167,0.429,0,0
2024,NBA,Ochai Agbaji,agbajoc01,23,2TM,SG,78,28,1641,0.411,13.7,0.513,0.289,0.176,0.037,0.012,0.487,0.523,0.664,0.329,0.438,0.2,0.294,0.75,0.984,0.085,31,0.455,0.365,1,0
2024,NBA,Ochai Agbaji,agbajoc01,23,UTA,SG,51,10,1003,0.426,15.9,0.43,0.201,0.181,0.036,0.012,0.57,0.551,0.72,0.422,0.333,0.333,0.331,0.831,0.979,0.068,15,0.451,0.406,0,0
2024,NBA,Ochai Agbaji,agbajoc01,23,TOR,SG,27,18,638,0.391,11.4,0.625,0.408,0.168,0.038,0.011,0.375,0.496,0.627,0.194,0.571,0.0,0.217,0.667,1.0,0.109,16,0.464,0.281,1,0
2024,NBA,Santi Aldama,aldamsa01,23,MEM,PF,61,35,1618,0.435,15.8,0.465,0.211,0.188,0.049,0.016,0.535,0.534,0.692,0.411,0.393,0.333,0.349,0.674,0.962,0.067,34,0.296,0.3,0,0
2024,NBA,Nickeil Alexander-Walker,alexani01,25,MIN,SG,82,20,1921,0.439,17.7,0.377,0.149,0.145,0.046,0.037,0.623,0.517,0.65,0.449,0.44,0.35,0.391,0.581,0.977,0.02,9,0.469,0.452,2,0
2024,NBA,Grayson Allen,allengr01,28,PHO,SG,75,74,2513,0.499,18.2,0.348,0.192,0.13,0.023,0.001,0.652,0.57,0.687,0.438,0.375,0.0,0.461,0.57,0.912,0.031,17,0.294,0.473,0,0
